text,label
لك العتبى يا نتنياهو حتى ترضى قال احدهم يوما ما ! الاحقاد الدفينه من الجماعات الارهابيه التى تهدد دولة اسرائيل نراها اليوم تهاجم السلام ! ل كل من يقول # التطبيع _ خيانة ! الامارات واسرائيل هم من يصنعون السلام والفارق و انتم من يتاجر بالقضيه ! AEIL,['disgust']
لا يوم كيومك ياأبا عبدالله 💔 # يا _ حسين,['sadness']
# مهندسو _ وزارة _ الكهرباء _ سلميون مطلبنا واضح وصريح هوالتثبيت على الملاك الدائم,['anticipation']
هالكبر ومعلمات و للحين ب نص الفصل وقدام الاطفال الحلوة نورة تناديني بأعلى صوت ععنييدد الأطفال : 👀 انا :😨 نورة :🌚,"['surprise', 'sadness']"
"اليوم دعنا نتفق لافرق عندك ان بقيت او مضيت لافرق عندك ان ضحكنا هكذا كذبا و ان وحدي بكيت ! ف انا تركت احبتي ولديك احباب وبيت .. و انا هجرت مدينتي , و اليك يابعضي اتيت و انا اعتزلت الناس و الدنيا ف ما انفقت لي من اجل ان ابقى ؟! و ماذا قد جنيت ؟ روضة الحاج","['love', 'sadness']"
# كلام _ معلمين _ الاربع اى حد هيضيع منه لغاليغه انا مليش دعوه 😂😂😂,['joy']
وضعك رايح ف يها يا مقووط .. الظاهر جايك فاينلزم متأخر ..,"['joy', 'disgust']"
اذ انه كان محرما عليهم نطق اسم الإله حتى - بحسب زعمهم - لا يساء استخدامه . فاضطروا الى اطلاق مصطلح او اكثر يكون رمزا او تعبيرا غير مباشر عن اسم الإله الحقيقي .,['neutral']
طلب طريقة لعب فيفا 2009 اون لاين ع البلاي ستيشن ثري download : برنامج طلب طريقة لعب فيفا 2009 اون لاين ع البلاي ستيش ...,['neutral']
شالتوتر !! احد يضيع ب رقم الهويه المشكله اني مصره اني اللي انا كتبته صح ، لا واضح اني فالحه,"['joy', 'sadness']"
قال رسول الله صلى الله عليه و سلم ف يما معناه ... سيرجع الإسلام غريبا كما بدأ ... اللهم احفظنا,['sadness']
احس هالصوره اكثر صوره تحزني و الله بس اسوي نفسي بالتاق ماهي محزنتني و الا هي محزنتني يعني احزن يوم اشوفها حزن حزن 😭😭😭😭😭😭,['sadness']
اخي الكريم اسمح لي ان اختلف مع حضرتك .. عندما يتمكن الشاعر من وضع الفكرة كاملة في بضعة ابيات .. ف هو ايضا متمكن .. مع كامل الإحترام لأصحاب القصائد الطويلة و ل كل جمهوره .. تحياتي لحضرتك 💐🍒💐,"['anticipation', 'acceptance']"
فشلت كل الرموز السابقة و التي ادعت الثورة والقومية والاشتراكية والدينية السياسية في ان تحقق للأمة العربية حلحلة لأوضاعها بل ساءت احوالها الان هو عصر السعودية بحكمتها ستقود عملية اصلاح حالها فقدقصدهاحكماء لبنان السنيورة وميقاتي و سلام ليبدأوامشوارالحل كماقصدهاقادةالعراق من قبل +,['neutral']
الناس كالكتب ف لا تغرك العناوين حتى تقلب بين صفحاتها 🦋,['anticipation']
شاركوا تكفون ارفعوه ترند البنت ب تموت # انقذوا _ ريماز _ معنفه _ الطايف,['sadness']
# الرائد خطأ فادح يتم التفريط ب عطوة نجم من نجوم الموسم وسيستبعد من الاجانب ال 7 . الى متى ستستمر الكوراث ؟ . الى متى ستستمر الأخطاء ؟ . الى متى يتم التفريط ب النجوم ؟ . نريد اجابة يابوا بندر ؟ . نريد اجابة ايها ( المطبلين )! . # عطوة _ خط _ احمر,['anger']
معاإذ مشارككم السهرة و لا ؟؟,['neutral']
جبران باسيل ما تشغل بالك بالسنة والشيعه وبيكفيك استثمار ف يهم دم رفيق الحريري اخرج السوري وأعادكم من المنفى والشيعي سلمكم السلطه واوصلكم للعهد القوي و لن يكن هناك فتنه سنية شيعيه وعد مني الك ريح حالك ودور على غيرها # لبنان,"['anticipation', 'disgust']"
ايولله انيي اشتاق .. متسغرب انه كويتنا هناك لي هناك وبيتك امره بوعد واسببه ! ): . …,['surprise']
ف يك الخير والبركه انا الفقير طيب 😣,"['acceptance', 'sadness']"
احولت عيوني ، التشطيبات النهائية ، لشعار مربط الرياض ..,"['acceptance', 'sadness']"
اعلم ان الدنيا ستكسرك كسرا موجعا يليق ب ها و ان الناس ستخذلك خذلانا يليق ب هم فأصبر و لا تجزع لأن الجبار سيجبرك جبرا يليق به .. وليغلبن جبره كسرك ولتصلحن رحمته حزنك وليلطفن لطفه فواجعك فاستند بظهرك المائل على باب صراطه المستقيم و اترك تركة ما اهمك في يد رحمن رحيم و لا تشكو الا اليه,['acceptance']
طريقة ذكية للستريم 💡 بإمكانكم الاستماع لديناميت 3 مرات مباشرة فالاغنية تم اصدارها ثلاث مرات وكل نسخة تعتبر نسخه مستقلة لذا لا بأس بتكريرها قوموا باضافتها بقوائمكم مثل الصوره 4 ب شرط ان تكون كل نسخة من البوم مختلف عن الاخر بامكانكم تنفيذ هذه الطريقة بسبوتفاي و ابل ميوزك وديزر,['anticipation']
شهدت حالة حرجة ب جامعة الطائف و عند استدعاء الإسعاف منع من الدخول لأكثر من نصف ساعة ب حجة انه لابد من تصريح ل ل دخول اولا . ولانعلم الى متى سيستمر الإستهتار بأرواح الطالبات !,"['sadness', 'anger']"
الافراط في العطاء يولد الاستغلال لا تصنع معروفا في غير اهله ..,['anticipation']
مع الإحترام للرئيس الراحل مبارك و الجميع لكن هو فعلا اسر في المغرب في حرب الرمال وقد روى الواقعة احد الضباط المشاركين في الحرب في برنامج موثق و على حياة الراحل و هذا قد يقع مع اي عسكري فقد كان في بداياته و بدون خبرة ..,['neutral']
# كشمير نداء استغاثة ( انقذوا ارواحنا )، رسالة الى كل مسلم يعيش على هذا الكوكب ، اذا متنا كلنا ولم تحركوا ساكنا ، فلسوف تسألن امام الله عنا ، الهند على وشك ان تستهل اعظم مجزرة في تاريخ البشرية . فليحفظنا الله . وداعا في حال حصل هذا . # باكستان # akistan # akistani,"['anticipation', 'sadness']"
لانستطيع ان ننسى الا اذا فتحنا الجروح القديمة واستمعنا الى انينها الداخلي . - واسيني الأعرج,['acceptance']
# روز _ للدعم # دعم _ خاص ╰,['neutral']
هشتاقك معنا ترند ب سعر رمزي شخصى - تجاري - جمعيات - مسابقات حيث نقوم برفع الهشتاقات لقائمة الترند السعودي - ضمان ظهور الهاشتاق - نضمن لك ترتيب متقدم - بقاء الهشتاق مدة اطول - سعر خاص للاشتراكات الشهرية وعقود الشركات والمؤسسات . اطلب الخدمه الان : 0551133678 # ترند _ منصه,['neutral']
كن مسؤولا عن القرارات التي اتخذتها و لا تسقطها على احد ، اما تلك الطرق التي اجبرت على سلكها ف لا تلق ل ها بالا ، لم تكن تملك الخيار .. اورقانيسكي,['anticipation']
يا الربع رقم ( 8 ) معلق عندي ما تدرون ليش ؟ حاولت اكثر من مره يطلع لي هالرقم خطير 🤦‍♂️ شكله تلفوني متأثر من خسارة برشلونه 🤦‍♂️ # برشلونة _ ميونيخ # ابطال _ اوروبا # مانشستر _ سيتي _ ليون # غوارديولا,['sadness']
ما ادري في عرسي في احد بيصورني بهالطريقة ؟,['neutral']
و انتي ب خير يا الغاليه ♥️♥️♥️,['acceptance']
يوب هاينكس ( مدرب بايرن ميونيخ السابق ): ل مرة واحدة ، دعونا نعترف بالحقيقة ، افضل لاعب ليس بالضرورة هو الشخص الذي ينظم المباريات ويفرض مهاراته ب شكل افضل ، بل هو الشخص الذي ينجح في اخراج فريقه من المأزق في لحظات حاسمة . ل مدة 4 او 5 سنوات قام ب ذلك كريستيانو رونالدو,"['anticipation', 'acceptance']"
الوجهه تكفوونن 😭😂 # محمد _ العيافي | # سنابات _ عبدالله _ الحلافي,['sadness']
رسميا بدا البيع ل ل ايفون r في # زين السعوديه الالوان السته والاحجام الثلاثه # ابل مع زين,['neutral']
جلس 6 سنوات و هو يبني بأعواد الأسنان تماثيل لمباني مشهورة حول العالم !!: * ب سم الله الرحمن الرحيم * * - --------------- - *,['neutral']
بس الحق عليا انا عاملك شان,"['anger', 'disgust']"
khaled حصاد 2007: ميلان بطل ابطال اوروبا ل كرة القدم,['neutral']
مى لعبت فى عداد عمرها و لا ايه,['surprise']
اشتقت ل ظروفك و لو هي .. عنيده,['acceptance']
الى ان قال انا على الطاير افهمها ، و اطيرها,['acceptance']
# مجزرة _ المنصة لا انسى الأب الذى جاء امام باب المستشفى الميدانى واقترب من اذنى وعينيه تمتلئ بالدموع ابنى استشهد .... ممكن ادخل اشوفه ! # ذكرى _ مجزرة _ المنصة,"['acceptance', 'sadness']"
[] ibya عبدالجليل عبدالقادر / حفلة حيه 2,['neutral']
في واحد يمني سمى الكوفيد 29 كوذيب 19 ب صراحة معبرة ! # كوذيب _19 # كوفيد _19,['surprise']
الكلام اللي مش مترتب طالع من القلب اصدق حاجه ممكن تسمعها ..,['acceptance']
انا معرفش ايه اللي اتفتح تاني انا كتبها تالت واحدة بس ابوك عنده حق,"['acceptance', 'surprise']"
نطلق اليوم في منظومة البيئة والمياه والزراعة حملتنا # انا _ لا _ استخدم _ الحطب _ المحلي للحث على التوقف عن استخدام الحطب المحلي ، واس …,['neutral']
حان الان وقت نومي حسب التوقيت المحلي لعيوني 😴👋👋🌷😘,"['joy', 'acceptance']"
# فاكهه _ تحبها _ دايما 1 برتقال ابو صره 🙈,['joy']
ع سيرة الدوام امينه اذا غابت و ماودها ابدا لكن ل ظروف المواصلات معناته انها بدت تتأقلم مع شغلها .. يي انجاز,['acceptance']
جيت اجدد ل احد المكفولين لقيت موجود المقابل المالى ارجو الاستبيان علما ان المؤسسه اقل من خمس عمال رقم الموسسه 17893371-23 تم انشاء الموسسه من عام,['neutral']
جميع قباءل عنزه خلف قيادتنا الحكيمه صفا و احدا # عنزه رهن اشاره القياده الحكيمه,['acceptance']
يا ليت لو كان المشروع حجر اساس فقط .. الجماعة اخذوا كل العماير الموجودة ب المنطقة المخطط انشاء المشروع عليها,"['sadness', 'disgust']"
يا رب .. اسكنها الفردوس الأعلى .. ونقها كما ينقى الثوب الأبيض من الدنس .. يا رب .. اغفر ل ها و اجعل قبرها روضة من رياض الجنة ..,['acceptance']
كن بسيطا واضح المعالم على سجيتك دعك من تقمص ادوار تناقض . …,['disgust']
الكاف ينفي ادعاءات دروغبا بشأن جائزة افضل لاعب,['neutral']
تقصدي نحتاج لإستنساخ هذا الحفل تحديدا في باقي البلاد العربية والإسلامية ؟ ام تقصدين ان هناك حفلات اخرى مشابهة له ليس ب ها صخب في دول اخرى ؟,['neutral']
يا حبيبي يا رسول الله صلي الله عليه و سلم,"['love', 'acceptance']"
مروققه على اخر حد ف الحياه,['acceptance']
{ افرأيت من اتخذ الهه هواه وأضله الله على علم وختم على سمعه و قلبه و جعل على بصره غشاوة ف من يهديه من بعد الله ۚ افلا تذكرون ﴾ # داعم _ للخير,"['anticipation', 'disgust']"
ابو ريدة : مصر تسعى لاستضافة السوبر الأوروبي,['neutral']
جمهور العين وصلوا الهاشتاق ترند 👇 # شطب _ الشحات _ مطلب _ جماهيري و الدليل راح يوصلون هذا ترند 👇 # الشحات _ كلنا _ معاك انتظروا 😎,['neutral']
ما الحب الا للحبيب الأولي .. كل التوفيق لمهد كرة القدم ❤️ # انجلترا _ ايسلندا,['acceptance']
. . - خوفك الزائد على الأشياء ان تنكسر ، قد يكسرك انت ويبقيها . - - # اسطول _ زعماء _ تويتر # رحاب _ الدعوه # طيب _ اثرك # الرقيي,['anticipation']
ما يهم ان شعرنا ب الأسف اتجاه الناس .. الأهم ما نشعر ب الأسف اتجاه انفسنا .,['acceptance']
و الله العظيم في ملامحنا من اللهفه ملامح .,['love']
قول اسف قول انك مستحي لا تجافي و لا تفنن ب الكلام,['disgust']
رأئي ف يه .. صدام احمق ومتهور وغدار .. الحقيقة انه قبل ما يطلق صواريخه على ايران ذهب للشاه وسلمه اراضي عراقيه حتى يدخلون في صلح و عندما سقط الشاه ذهب للخميني يطلب استراد الأراضي و تم طرده ،، حتى المجنون ما يدير بلد ب هذي الطريقة !! مدري وين الشجاعة وهم مطلعينه من حفره !,"['surprise', 'disgust']"
iren's oot 9 . 5: الكل يعرف هذه الإسطوانة الرائعة والمفيدة ولدي عدة اسئلة عليها ارجو الإجابة عليها هل ي ..,['acceptance']
هه لازم تعارضي يعني ‏ :‏)‏,"['joy', 'disgust']"
صرت ل من اروح مراجعة عند اي طبيب في الخاص ، اجيب معاي laptop عشان اشتغل عليه خلال الانتظار . اخر مره راجعت ، انتظرت ساعة و 45 دقيقة 🤪 هذا و انا دافع كاش مو تأمين و لا حكومي . مالخطب يا قوم ؟!,"['surprise', 'disgust']"
ها هي وقاحة خامنئي,['disgust']
# غازل _ حسب _ اختصاصك سترة انزع . وضع الجلووس خذ . للورا در . امتتد . وبربس وبربس وبربس 😂😂😂,['joy']
* بعد ما نقرا نص ساعة ونطلع باش ناكل حاجة *,['sadness']
اصعب شعور .. ان تكون تسليه في قلب .. شخص جعلته كل شي ب حياتك ! # مجرد _ حرف _ حر,"['sadness', 'disgust']"
الحين فوق ثقالة الدام متكلفين ل ل اسف,"['anger', 'disgust']"
الكل الحكومه تراجعت بقرارها الاخوان اشتغلوا ونواب المتكسبين اشتغلوا و ل هم طموحات اشتغلوا مافكروا مصر ماتقدر تخش الاصابات ولاراح تتعاقب من منظمه الصحه العالميه جونممثل المنظمه اشاد ب مصر و انها من اول الدول وضعت خطه لتصدي و الوقايه من فيروس # كورونا و انها خاليه من هذا الفيروس بس شنفهم,['disgust']
لا صرت شيخ وتشكي الهم و الضيق اجل وشنسوي بهالحال حنا ما عندنا على هالاوضاع تعليق الا ننمي صبرنا ونتمنا نرجي المطر والغيم ما بلل الريق يمرنا ويسقي البعيدين منا مابين كثرة حاجه و قل توفيق ماغير طير النحس في الدار غنا هذا و احنا في وطنا صعافيق و شلون لو ماكان هذا وطنا,"['sadness', 'disgust']"
على اساس انكم محترمين معهم,"['anger', 'disgust']"
انا ونفسيتي وشعري وميزانيتي كلنا نتساقط,['sadness']
كما دخل الطريقي عش الدبابير انت ايضا دخلت بمقالك هذا فهد القوي . . اهلا بك في ( عش ) الأقوياء الشرفاء,['acceptance']
نوارتي الدب ما عم يصلني مسجات على موبايلي :(,['sadness']
"في الايام الأخيرة شاركت في محادثات كثيرة , قرات , انفعلت , وقفت امام المراة في محاولة عنيفة لرؤية الجانب الذي مازال يشبهك , حين ينتهي كل شيء كنت امسك ب الهاتف , اشعر بمهزلة انك تسكن شاشة ب حجم يدي","['sadness', 'disgust']"
مصادرة الاف ليترات المازوت المهربة الى لبنان و تركيا ..,['neutral']
مجموعة صور عالية الجودة ل ssassins reed 2 ب حجم 22 ميجا بتحميل مباشر على 23 سيرفر :,['neutral']
الصبر حل لي كل شئ بس في بعض الأحيان يقتلك # كلمة _ للعام _ الجديد # وضعك _ مع _ البرد _ # مدن _ السودان _ تنتفض 6,"['acceptance', 'sadness']"
من فضلك هل استأجر سيارة من مطار طربزون افضل ام من داخل وهل عندك مكتب تنصح ف يه ؟؟ و شكرا,['acceptance']
لاكسالت - عمر اقل + راتب اقل + راضي ب الدكه .,"['sadness', 'disgust']"
رحت ابحث عنهم و طلع لي هذا انا خايفه 😭😭,"['sadness', 'fear']"
يا عالم انا سسععييده,['acceptance']
الان على مدونتي .. هناك افضل ..,['acceptance']
خطوة قوية ، بس اتمنى حتى الشركات ب نفسها تساهم ب نسبة معينة ل انه في النهاية الشركة الي تتسبب في التسريح ما كله ع المواطن لكن مبونه المواطن يدفع ضريبة الفشل 💔🚶🏻‍♂️,"['acceptance', 'sadness']"
و من في حب القهوة قد يلام .,['acceptance']
مثل هذا الطرح لا تسمع له ل انه جاهل فنيا,['disgust']
انت الملازم اول ب الصورة هذي,['neutral']
تخيل انك ب تروح الفور سيزن ... الليلة ب 1300 ريال وتحصل على خصم 50 % يعني 650 ريال ---- يعني ثمن ليلة في شقة مفروشة في الشرقية,['neutral']
اتوقع حان الوقت لقطاع البلديات ان يتم البت ف يه ل اعادة تنظيمه وتشريعه وسن اللوائح الحديثه التي تواكب تطلعات الرؤية تحديدا بعد انغماس الأمانات في التشغيل و يجب تسليمه ل لقطاع الخاص والتركيز لأهداف المنظمات ومؤشرات اعمالها وخططها والعودة لوضعها الصحيح وكلنا امل في,['acceptance']
للباحثتت عن # مساج (),['neutral']
قلتي لاتمدحونه ب يصير مغرور و بعدها جايه تغلطين وتقولين ما درى عني ؟ ف يه ناس تعدت مرحلة الغرابه الله يصبرنا بس,"['anger', 'disgust']"
ما اعيش بإنتظار احد اللي مايحط اعتبار لوجودي ما اشوف غيابه خساره ✋,['disgust']
دعم خاص ⬇ ⁧# مملكة _ قلم _ للدعم,['neutral']
# كلمه _ للعام _ الجديد ✨? قال تعالى : ﴿ و لا تيأسوا من روح الله ﴾ مهما كنت في هم وغم و ضيق ثق ب الله واستبشر خيرا ??,['acceptance']
الله يستر لا يطلع النسخة الذكورية من خاطفة الدمام 😕,['fear']
انا فتاة سيئه لاتجرب الاحتكاك بي,"['anticipation', 'disgust']"
اننا في الماء .. دون ان نبتل !,['surprise']
تدرى ليش لأن المرء مهزء بطبعه 🤷🏻,['anticipation']
هو كان يوم واحد احد .. استفدنا به من الاجازة المملة ده .. عشان كدة الصور كلها ب نفس القميص و البنطلون ..,"['sadness', 'disgust']"
# بدون _ يحرق _ نفسه الشاب الذي احرق نفسه اوصل رساله بجسدة !! الذي اشتعل ان المعانات و الظروف القاسية اقوى من الاشتعال الجسدي الم …,"['acceptance', 'sadness']"
صباح الخير مع ان الساعة عندنا ماتزال 1 و 5 دقائق ليلا هه,"['joy', 'acceptance']"
الحمدلله بكره اوف # اوف _ الاحد,['acceptance']
خويي و عن خوته مالي غنا لو كل يوم اعاتبه واواخذه دايم ل كسب الطيب يسبقني .. و انا عجزت اجاري طيبه .. الله ياخذه :),"['joy', 'acceptance']"
اي حركة علمية تقصد المسيح ذو طبيعة او طبيعتين هه دع عنك الوهم والتعصب .,"['joy', 'disgust']"
تقرير نصف سنوي .. البحوث الإسلامية : نفذنا 2232 قافلة توعوية .. وأجبنا على 400 الف فتوى مباشرة,['acceptance']
نسبة كبيرة من تغريدات تويتر صاير تتكلم عن الحب مدري هل هو اصبح روتين هذا الكلام او انه متنفس الناس الواحد و اللي يعبر ف يه عن اللي ب داخلهم,['surprise']
ي بنتي ما انتي جمبها ع الكنبة هو اي تلزيق و خلاص متقرفوناش بقى,"['anger', 'disgust']"
هيه جامعه المنيا جايبه كل التسعينات دي منين,['surprise']
البروف في بداياته ابهر الناس بمنطقه الفلسفي ثم بعد ذلك بداء ذلك البريق يخفو ثم وصل الى مرحلة الاختفاء عندم ادرك العاقل ان حديثه اصبح سقط متاع وتجارة بائرة و الان نراه قد توجه ل علم التاريخ لعله يغير في نشاطه التجاري ف هل نسي البو رف ان صاحب البالين ( ....... ),['disgust']
اللهم احفظ لي امي ب عينيك التي لا تنام ، واشغلني ب برها ف انها لي الدنيا و ما ملكت ?,['acceptance']
حنيت لحضنك اللي امس منه لحظه انا مامليت ..,"['love', 'sadness']"
اذا ابتسمت تلك # الدمشقيه غني الياسمين علي ضفاف # دمشق,['acceptance']
انتبهو من # الجوال يا اخوان,['anticipation']
انا مت ي جماعه 💔💔💔💔🏃‍♀️😭😭 # سنابات _ غازي _ المطيري,['sadness']
ربما كانت الثمرة التي جنيتها خلال ما مررت به هو معرفة نفسي ، فالإنسان لا يدرك نفسه في السلم كما يدركها و هو يخوض الحرب .,['acceptance']
هه هالمقطع كل ماشفته يجين غثيان من كثر الضحك #2030,['joy']
🌟# دعم _ خاص 🌟⚡️ تتقدم ادارة # هيبه _ شيوخ _ للدعم 💥 💥 💥 ب كلمة شكرر و تقدير 🎗 # لنايف استحق الاإحترام و التقدير تميز بتفاع …,['acceptance']
تعشمت بالنسيان ياطاري ، النسيان و راحت سنين العمر ما راحت الذكرى .,['sadness']
# ملاحظه _ تويتريه الحمدلله على شخص حاز كل اولويات الرضا ل يصبح ب كل حالاته صاحبي وكل الحياة ..,['acceptance']
عاوز تشجيع بكره بغباء — لو الشناوي موقفش هو او الحضري موش هشجع اصلا …,['acceptance']
# اوف _ الاحد انا يتيم الوقت لا نامت عيونك .,"['love', 'sadness']"
احياء اموات منذ ولدنا # لبنان,['sadness']
بث تبادل الاشتراكات #130:,['neutral']
♨ ⋮⋮ سلو البيضاء تخبركم كيف اذل الله ف يها حشوديالروافض و كسر شوكتهم بأيدي جنود الخلافة في قيفة .. وتنفس اهل السنة الصعداء بعد ان حاصرهم الروافض ‌ يمن كل صوب وضيقوا عليهم الخناق .. الإصداري ⇊,"['acceptance', 'disgust']"
افكر ف يما سوف يأتى .. اشعر بأن صفحه # المستقبل ب ها نقطه # سوداء 😓,['sadness']
فعلا انا لما سمعت الأغنيه يوم افتتاح الدوره حسيت ان دمي قد تجمد,"['sadness', 'fear']"
ولاية الله فوق كل الولايات نحن نتولى الله ورسولة وأعلام الهدى و من يمشي في خط الله و الله عزوجل وعد الغلبه ل من يتولاه ويستقيم على هداه انتم تتولوا اليهود والنصارى وتمشون في خط الشيطان وتنفذون اوامر من غضب الله عليهم ومرور خمس سنوات كافيه ل من كان له عقل ولكنكم في غيكم فلننتظر,"['acceptance', 'disgust']"
و الان قضية مها التميمي وزوجها علي القرني اذ حكمت المحكمة بفسخ النكاح بناء على طلب اعمامها ب حجة # عدم _ تكافؤ _ النسب و تستمر هذه المه …,['neutral']
بتقعد مع حدا كبير بالعمر شوي ببلش بيحكي لحالو شو صار مظاهرات اليوم ؟ الله لا يوفقهن هالسياسيي خربو البلد لعنة الله عليهم انت عم تسمع وساكت ل ان عارف انو في واحد من هالسياسيي بنظرو مش منهن 1/2,"['anger', 'disgust']"
صورة مع التحية ل لفندم يحيى سريع حركة الملاحة الجوية في مطار ابها متوقفة و لكن لاحظنا ان حركة الملاحة الجوية في مطار جيزان شغالة ... والرأي ل كم,['anticipation']
مفاجأة كبيرة جدا ليون يعملها تاني مع مين مانشستر سيتي فاز عليه 3-1,['surprise']
